,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
2853,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2854,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2855,Jakir Hussain,Residential Plot,6.18,666 / sq ft,927 ,New
2856,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2857,Jakir Hussain,Residential Plot,6.6,666 / sq ft,990 ,New
2858,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2859,Jakir Hussain,Residential Plot,9,666 / sq ft,1350 ,New
2860,Jakir Hussain,Residential Plot,6.18,666 / sq ft,927 ,New
2861,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2862,Jakir Hussain,Residential Plot,6.6,666 / sq ft,990 ,New
2863,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2864,Jakir Hussain,Residential Plot,9,666 / sq ft,1350 ,New
2865,Jakir Hussain,Residential Plot,6.36,666 / sq ft,954 ,New
2866,Jakir Hussain,Residential Plot,6.24,666 / sq ft,936 ,New
2867,Jakir Hussain,Residential Plot,9,666 / sq ft,1350 ,New
2868,Jakir Hussain,Residential Plot,7.98,666 / sq ft,1197 ,New
2869,Jakir Hussain,Residential Plot,9,666 / sq ft,1350 ,New
2870,Forprops,4 ,3.36,"7,504 / sq ft",4484 ,Under Construction
2871,Forprops,4 ,2.26,"7,996 / sq ft",2830 ,Under Construction
2872,Forprops,4 ,2.87,"7,557 / sq ft",3801 ,Under Construction
2873,Forprops,3 ,2.58,"7,906 / sq ft",3271 ,Ready to move
2874,Forprops,4 ,2.7,"7,876 / sq ft",3429 ,Ready to move
2875,Forprops,4 ,2.91,"7,819 / sq ft",3731 ,Ready to move
2876,Forprops,4 ,3.18,"8,435 / sq ft",3770 ,Ready to move
2877,Forprops,3 ,2.24,"6,153 / sq ft",3640 ,Under Construction
2878,Forprops,4 ,3.22,"9,490 / sq ft",3402 ,Ready to move
2879,Forprops,4 ,3.31,"7,385 / sq ft",4482 ,Under Construction
2880,Forprops,3 ,2.52,"6,476 / sq ft",3891 ,Under Construction
2881,Forprops,4 ,2.05,"6,833 / sq ft",3000 ,Under Construction
2882,Forprops,3 ,2.34,"8,265 / sq ft",2831 ,Under Construction
2883,Forprops,3 ,1.19,"5,844 / sq ft",2036 ,Under Construction
2884,Forprops,4 ,4.33,"10,594 / sq ft",4087 ,Under Construction
2885,Forprops,4 ,3.06,"8,973 / sq ft",3410 ,Under Construction
2886,Forprops,3 ,1.15,"6,969 / sq ft",1650 ,Under Construction
2887,Forprops,4 ,9.54,"18,742 / sq ft",5090 ,Under Construction
2888,Forprops,4 ,2.8,"8,000 / sq ft",3500 ,Under Construction
2889,Forprops,3 ,2.13,"7,383 / sq ft",2885 ,Under Construction
2890,Forprops,4 ,3.51,"7,630 / sq ft",4600 ,Under Construction
2891,Forprops,4 ,3.14,"10,015 / sq ft",3135 ,Ready to move
2892,Forprops,4 ,3.14,"9,227 / sq ft",3403 ,Ready to move
2893,Forprops,4 ,3.25,"8,710 / sq ft",3731 ,Ready to move
2894,Forprops,3 ,78,"4,588 / sq ft",1700 ,Under Construction
2895,Forprops,4 ,2.8,"7,919 / sq ft",3541 ,Under Construction
2896,Forprops,3 ,1.13,"6,316 / sq ft",1789 ,Under Construction
2897,Forprops,3 ,2.76,"8,857 / sq ft",3116 ,Ready to move
2898,Forprops,4 ,6.64,"12,930 / sq ft",5135 ,Under Construction
2899,Forprops,5 ,2.7,"6,000 / sq ft",4500 ,Under Construction
2900,Forprops,4 ,2.58,"7,524 / sq ft",3429 ,Under Construction
2901,Forprops,3 ,2.71,"6,930 / sq ft",3910 ,Under Construction
2902,Forprops,4 ,3.1,"9,114 / sq ft",3401 ,Under Construction
2903,Forprops,4 ,4,"9,478 / sq ft",4220 ,Under Construction
2904,Forprops,4 ,2.16,"7,534 / sq ft",2867 ,Under Construction
2905,Forprops,4 ,3.24,"7,516 / sq ft",4312 ,Under Construction
2906,Forprops,4 ,4.78,"13,117 / sq ft",3644 ,Under Construction
2907,Forprops,4 ,4.41,"9,692 / sq ft",4550 ,Under Construction
2908,Forprops,3 ,2.11,"7,364 / sq ft",2865 ,Under Construction
2909,Forprops,4 ,2.4,"6,332 / sq ft",3790 ,Under Construction
2910,Forprops,4 ,3.85,"9,577 / sq ft",4020 ,Under Construction
2911,Forprops,4 ,2.18,"6,055 / sq ft",3600 ,Under Construction
2912,Forprops,3 ,2.5,"7,500 / sq ft",3333 ,Under Construction
2913,Nityashree Real Estate,5 ,1.1,"3,928 / sq ft",2800 ,Ready to move
2914,Omega Real Estate,3 ,70,"3,888 / sq ft",1800 ,Ready to move
2915,Kosher Proctor I Pvt Ltd,4 ,2.7,"6,000 / sq ft",4500 ,Ready to move
2916,Kosher Proctor I Pvt Ltd,3 ,1.04,"6,000 / sq ft",1735 ,Ready to move
2917,Kosher Proctor I Pvt Ltd,2 ,43.74,"4,600 / sq ft",951 ,Under Construction
2918,Kosher Proctor I Pvt Ltd,2 ,48.99,"4,600 / sq ft",1065 ,Under Construction
2919,Kosher Proctor I Pvt Ltd,3 ,64.44,"4,600 / sq ft",1401 ,Under Construction
2920,Kosher Proctor I Pvt Ltd,3 ,60.62,"4,600 / sq ft",1318 ,Under Construction
2921,Omega Real Estate,4 ,99,"4,125 / sq ft",2400 ,Ready to move
2922,Orange Property,4 ,4,"6,666 / sq ft",6000 ,Ready to move
2923,Nityashree Real Estate,3 ,60,"4,285 / sq ft",1400 ,Ready to move
2924,Kosher Proctor I Pvt Ltd,4 ,2.7,"6,000 / sq ft",4500 ,Ready to move
2925,Nityashree Real Estate,2 ,55,"5,000 / sq ft",1100 ,Ready to move
2926,Remax Central,2 ,75,"6,000 / sq ft",1250 ,Ready to move
2927,Omega Real Estate,3 ,85,"4,473 / sq ft",1900 ,Ready to move
2928,Kosher Proctor I Pvt Ltd,3 ,1.04,"6,000 / sq ft",1735 ,Ready to move
2929,Kosher Proctor I Pvt Ltd,3 ,1.57,"6,200 / sq ft",2540 ,Ready to move
2930,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Ready to move
2931,Fido Property Management,4 ,2.31,"9,347 / sq ft",2477 ,Under Construction
2932,Mahesh Bairi,2 ,31.8,"3,298 / sq ft",964 ,Under Construction
2933,Mahesh Bairi,2 ,38.65,"3,698 / sq ft",1045 ,Under Construction
2934,Omega Real Estate,3 ,45,"3,333 / sq ft",1350 ,Ready to move
2935,Omega Real Estate,3 ,70,"5,833 / sq ft",1200 ,Ready to move
2936,Omega Real Estate,3 ,1.3,"5,909 / sq ft",2200 ,Ready to move
2937,Omega Real Estate,3 ,1.2,"6,315 / sq ft",1900 ,Ready to move
2938,Forprops,4 ,3.11,"7,529 / sq ft",4132 ,Under Construction
2939,Forprops,4 ,2.73,"7,575 / sq ft",3614 ,Under Construction
2940,Forprops,3 ,1.15,"6,969 / sq ft",1650 ,Under Construction
2941,Forprops,3 ,41.01,"3,169 / sq ft",1294 ,Under Construction
2942,Forprops,2 ,33.79,"3,233 / sq ft",1045 ,Under Construction
2943,Forprops,2 ,33.79,"3,233 / sq ft",1045 ,Under Construction
2944,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2945,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2946,Ravi Teja,Residential Plot,17.5,"1,620 / sq ft",1080 ,New
2947,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2948,Dhathrri services,2 ,46,"4,181 / sq ft",1100 ,Ready to move
2949,Dvr eastates,Residential Plot,18,"1,000 / sq ft",1800 ,New
2950,Sawera Township,Residential Plot,35,388 / sq ft,9000 ,New
2951,Jakir Hussain,Residential Plot,6.12,666 / sq ft,918 ,New
2952,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
2953,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
2954,Mythri Projects,Residential Plot,12,666 / sq ft,1800 ,New
2955,Jakir Hussain,Residential Plot,6.06,666 / sq ft,909 ,New
2956,Mythri Projects,Residential Plot,21.71,"1,444 / sq ft",1503 ,New
2957,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
2958,Mahesh Bairi,5 ,1.8,"5,625 / sq ft",3200 ,Ready to move
2959,Forprops,3 ,78,"4,588 / sq ft",1700 ,Under Construction
2960,Forprops,3 ,1.1,"4,356 / sq ft",2525 ,Under Construction
2961,Forprops,4 ,3.14,"10,019 / sq ft",3134 ,Under Construction
2962,Forprops,3 ,95,"5,864 / sq ft",1620 ,Ready to move
2963,Forprops,3 ,95,"5,864 / sq ft",1620 ,Ready to move
2964,Forprops,3 ,1.74,"7,789 / sq ft",2244 ,Under Construction
2965,Forprops,3 ,1.38,"7,095 / sq ft",1945 ,Ready to move
2966,Forprops,2 ,1.01,"7,947 / sq ft",1281 ,Under Construction
2967,Forprops,5 ,4.6,"11,081 / sq ft",4151 ,Ready to move
2968,Nityashree Real Estate,2 ,62,"4,133 / sq ft",1500 ,Ready to move
2969,Nityashree Real Estate,4 ,1,"3,846 / sq ft",2600 ,Ready to move
2970,Kosher Proctor I Pvt Ltd,3 ,78.75,"5,000 / sq ft",1575 ,Under Construction
2971,Orange Property,3 ,1.79,"6,992 / sq ft",2560 ,Ready to move
2972,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Under Construction
2973,Remax Central,3 ,82,"6,074 / sq ft",1350 ,Ready to move
2974,Kosher Proctor I Pvt Ltd,3 ,1.48,"7,000 / sq ft",2125 ,Under Construction
2975,Kosher Proctor I Pvt Ltd,3 ,1.04,"6,000 / sq ft",1735 ,Ready to move
2976,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Ready to move
2977,Orange Property,2 ,79,"6,627 / sq ft",1192 ,Ready to move
2978,Nityashree Real Estate,4 ,87,"4,833 / sq ft",1800 ,Ready to move
2979,Kosher Proctor I Pvt Ltd,4 ,7.78,"15,300 / sq ft",5090 ,Under Construction
2980,Nityashree Real Estate,2 ,65,"8,125 / sq ft",800 ,Ready to move
2981,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Ready to move
2982,Kosher Proctor I Pvt Ltd,3 ,1.04,"6,000 / sq ft",1735 ,Ready to move
2983,Nityashree Real Estate,2 ,65,"5,416 / sq ft",1200 ,Ready to move
2984,Nityashree Real Estate,4 ,80,"3,636 / sq ft",2200 ,Ready to move
2985,Nityashree Real Estate,2 ,90,"6,428 / sq ft",1400 ,Ready to move
2986,Kosher Proctor I Pvt Ltd,3 ,1.04,"6,000 / sq ft",1735 ,Ready to move
2987,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Ready to move
2988,Orange Property,2 ,79,"6,627 / sq ft",1192 ,Ready to move
2989,Kosher Proctor I Pvt Ltd,4 ,7.78,"15,300 / sq ft",5090 ,Under Construction
2990,Kosher Proctor I Pvt Ltd,3 ,75.6,"4,800 / sq ft",1575 ,Under Construction
2991,Nityashree Real Estate,4 ,90,"4,090 / sq ft",2200 ,Ready to move
2992,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Under Construction
2993,Kosher Proctor I Pvt Ltd,2 ,43.74,"4,600 / sq ft",951 ,Under Construction
2994,Remax Central,3 ,82,"6,074 / sq ft",1350 ,Ready to move
2995,Kosher Proctor I Pvt Ltd,3 ,1.48,"7,000 / sq ft",2125 ,Under Construction
2996,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Under Construction
2997,Kosher Proctor I Pvt Ltd,3 ,84.5,"5,200 / sq ft",1625 ,Under Construction
2998,Nityashree Real Estate,5 ,90,"3,461 / sq ft",2600 ,Ready to move
2999,Omega Real Estate,6 ,5.9,"5,900 / sq ft",10000 ,Ready to move
3000,Kosher Proctor I Pvt Ltd,3 ,1.21,"6,000 / sq ft",2030 ,Ready to move
3001,Nityashree Real Estate,4 ,76,"3,460 / sq ft",2196 ,Ready to move
3002,Kosher Proctor I Pvt Ltd,3 ,90.22,"5,200 / sq ft",1735 ,Under Construction
3003,Kosher Proctor I Pvt Ltd,2 ,61.1,"5,200 / sq ft",1175 ,Under Construction
3004,Kosher Proctor I Pvt Ltd,4 ,3.73,"8,500 / sq ft",4395 ,Under Construction
3005,Nityashree Real Estate,2 ,85,"5,312 / sq ft",1600 ,Ready to move
3006,Omega Real Estate,2 ,55,"4,074 / sq ft",1350 ,Ready to move
3007,Kosher Proctor I Pvt Ltd,2 ,84.24,"4,800 / sq ft",1755 ,Under Construction
3008,Nityashree Real Estate,2 ,62,"4,133 / sq ft",1500 ,Ready to move
3009,Nityashree Real Estate,4 ,1,"3,846 / sq ft",2600 ,Ready to move
3010,Kosher Proctor I Pvt Ltd,3 ,78.75,"5,000 / sq ft",1575 ,Under Construction
3011,Orange Property,3 ,1.79,"6,992 / sq ft",2560 ,Ready to move
3012,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Under Construction
3013,Venu Gopal,2 ,1.4,"7,446 / sq ft",1880 ,Ready to move
3014,Orange Property,2 ,1.55,"7,451 / sq ft",2080 ,Ready to move
3015,Kosher Proctor I Pvt Ltd,3 ,84.24,"4,800 / sq ft",1755 ,Under Construction
3016,Kosher Proctor I Pvt Ltd,2 ,64.74,"5,200 / sq ft",1245 ,Under Construction
3017,Kosher Proctor I Pvt Ltd,3 ,84.5,"5,200 / sq ft",1625 ,Under Construction
3018,Kosher Proctor I Pvt Ltd,4 ,4.61,"8,500 / sq ft",5430 ,Ready to move
3019,Kosher Proctor I Pvt Ltd,3 ,75.6,"4,800 / sq ft",1575 ,Under Construction
3020,Omega Real Estate,2 ,55,"4,074 / sq ft",1350 ,Ready to move
3021,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Under Construction
3022,Kosher Proctor I Pvt Ltd,3 ,84.5,"5,200 / sq ft",1625 ,Under Construction
3023,Nityashree Real Estate,5 ,90,"3,461 / sq ft",2600 ,Ready to move
3024,Kosher Proctor I Pvt Ltd,2 ,51.1,"4,600 / sq ft",1111 ,Under Construction
3025,Kosher Proctor I Pvt Ltd,2 ,49.03,"4,600 / sq ft",1066 ,Under Construction
3026,Remax Central,2 ,86,"6,771 / sq ft",1270 ,Ready to move
3027,Kosher Proctor I Pvt Ltd,2 ,43.79,"4,600 / sq ft",952 ,Under Construction
3028,Kosher Proctor I Pvt Ltd,2 ,51.12,"4,400 / sq ft",1162 ,Under Construction
3029,Kosher Proctor I Pvt Ltd,2 ,61.1,"5,200 / sq ft",1175 ,Under Construction
3030,Venu Gopal,1 ,85,"6,415 / sq ft",1325 ,Ready to move
3031,Kosher Proctor I Pvt Ltd,3 ,1.21,"6,000 / sq ft",2030 ,Under Construction
3032,Kosher Proctor I Pvt Ltd,2 ,64.74,"5,200 / sq ft",1245 ,Under Construction
3033,Remax,4 ,90,"3,543 / sq ft",2540 ,Ready to move
3034,Kosher Proctor I Pvt Ltd,3 ,1.21,"6,000 / sq ft",2030 ,Ready to move
3035,Kosher Proctor I Pvt Ltd,2 ,61.1,"5,200 / sq ft",1175 ,Under Construction
3036,Kosher Proctor I Pvt Ltd,3 ,1.04,"6,000 / sq ft",1735 ,Ready to move
3037,Nityashree Real Estate,2 ,65,"5,416 / sq ft",1200 ,Ready to move
3038,Nityashree Real Estate,4 ,80,"3,636 / sq ft",2200 ,Ready to move
3039,Nityashree Real Estate,2 ,90,"6,428 / sq ft",1400 ,Ready to move
3040,Kosher Proctor I Pvt Ltd,3 ,90.22,"5,200 / sq ft",1735 ,Under Construction
3041,Kosher Proctor I Pvt Ltd,2 ,84.5,"5,200 / sq ft",1625 ,Under Construction
3042,Nityashree Real Estate,3 ,85,"7,083 / sq ft",1200 ,Ready to move
3043,Kosher Proctor I Pvt Ltd,3 ,3.67,"7,500 / sq ft",4905 ,Under Construction
3044,Venu Gopal,2 ,1.4,"7,446 / sq ft",1880 ,Ready to move
3045,Orange Property,2 ,1.55,"7,451 / sq ft",2080 ,Ready to move
3046,Kosher Proctor I Pvt Ltd,3 ,84.24,"4,800 / sq ft",1755 ,Under Construction
3047,Kosher Proctor I Pvt Ltd,2 ,64.74,"5,200 / sq ft",1245 ,Under Construction
3048,Kosher Proctor I Pvt Ltd,3 ,84.5,"5,200 / sq ft",1625 ,Under Construction
3049,Kosher Proctor I Pvt Ltd,4 ,4.61,"8,500 / sq ft",5430 ,Ready to move
3050,Kosher Proctor I Pvt Ltd,3 ,75.6,"4,800 / sq ft",1575 ,Under Construction
3051,Kosher Proctor I Pvt Ltd,4 ,4.53,"8,500 / sq ft",5340 ,Under Construction
3052,Nityashree Real Estate,4 ,1.28,"4,266 / sq ft",3000 ,Ready to move
3053,Kosher Proctor I Pvt Ltd,3 ,1.21,"6,000 / sq ft",2030 ,Under Construction
3054,Orange Property,3 ,1.3,"5,990 / sq ft",2170 ,Ready to move
3055,Kosher Proctor I Pvt Ltd,2 ,64.74,"5,200 / sq ft",1245 ,Under Construction
3056,Kosher Proctor I Pvt Ltd,3 ,84.24,"4,800 / sq ft",1755 ,Under Construction
3057,Kosher Proctor I Pvt Ltd,2 ,61.1,"5,200 / sq ft",1175 ,Under Construction
3058,Nityashree Real Estate,3 ,72,"5,142 / sq ft",1400 ,Ready to move
3059,Nityashree Real Estate,3 ,82,"5,125 / sq ft",1600 ,Ready to move
3060,Fido Property Management,3 ,1.1,"7,000 / sq ft",1575 ,Ready to move
3061,Nityashree Real Estate,4 ,98,"4,083 / sq ft",2400 ,Ready to move
3062,Mahesh Bairi,5 ,1.8,"5,625 / sq ft",3200 ,Ready to move
3063,Forprops,2 ,1.1,"9,046 / sq ft",1216 ,Ready to move
3064,Forprops,3 ,1.32,"8,198 / sq ft",1610 ,Under Construction
3065,Forprops,3 ,1.14,"9,500 / sq ft",1200 ,Under Construction
3066,Forprops,3 ,1.36,"8,553 / sq ft",1590 ,Under Construction
3067,Forprops,3 ,1.38,"7,500 / sq ft",1840 ,Under Construction
3068,Forprops,3 ,2.13,"8,160 / sq ft",2610 ,Under Construction
3069,Forprops,2 ,61,"5,258 / sq ft",1160 ,Under Construction
3070,Forprops,3 ,45.1,"2,899 / sq ft",1556 ,Under Construction
3071,Forprops,2 ,66.35,"4,951 / sq ft",1340 ,Under Construction
3072,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
3073,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
3074,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
3075,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
3076,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
3077,Hrushi Properties,3 ,74,"4,111 / sq ft",1800 ,Under Construction
3078,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
3079,Om Sri Sai Ram Rentals,2 ,47,"4,476 / sq ft",1050 ,Ready to move
3080,Mythri Projects,Residential Plot,21.71,"1,444 / sq ft",1503 ,New
3081,Dhathrri services,Residential Plot,44,"2,444 / sq ft",1800 ,New
3082,Forprops,3 ,1.47,"7,480 / sq ft",1965 ,Under Construction
3083,Forprops,2 ,73.76,"5,854 / sq ft",1260 ,Under Construction
3084,Forprops,2 ,92.68,"7,622 / sq ft",1216 ,Under Construction
3085,Forprops,3 ,1.98,"7,306 / sq ft",2710 ,Under Construction
3086,Forprops,3 ,2.06,"9,135 / sq ft",2255 ,Under Construction
3087,Forprops,3 ,1.36,"8,553 / sq ft",1590 ,Under Construction
3088,Forprops,3 ,1.49,"8,347 / sq ft",1785 ,Under Construction
3089,Forprops,3 ,2.7,"10,526 / sq ft",2565 ,Under Construction
3090,Forprops,3 ,1.14,"6,651 / sq ft",1727 ,Under Construction
3091,Forprops,3 ,1.49,"5,744 / sq ft",2594 ,Under Construction
3092,Forprops,3 ,94.32,"5,254 / sq ft",1795 ,Under Construction
3093,Forprops,2 ,60.87,"5,483 / sq ft",1110 ,Under Construction
3094,Forprops,1 ,31,"5,107 / sq ft",607 ,Under Construction
3095,Forprops,3 ,2.85,"10,477 / sq ft",2720 ,Under Construction
3096,Forprops,2 ,89.63,"7,057 / sq ft",1270 ,Under Construction
3097,Forprops,3 ,1.3,"7,065 / sq ft",1840 ,Under Construction
3098,Forprops,2 ,65.28,"4,800 / sq ft",1360 ,Under Construction
3099,Forprops,3 ,1.1,"6,977 / sq ft",1585 ,Ready to move
3100,Forprops,3 ,90,"5,787 / sq ft",1555 ,Under Construction
3101,Forprops,2 ,66.23,"5,277 / sq ft",1255 ,Ready to move
3102,Forprops,2 ,89.63,"7,069 / sq ft",1268 ,Under Construction
3103,Forprops,3 ,1.11,"6,754 / sq ft",1649 ,Under Construction
3104,Forprops,3 ,1.26,"7,927 / sq ft",1591 ,Under Construction
3105,Forprops,3 ,82.83,"5,008 / sq ft",1654 ,Under Construction
3106,Forprops,3 ,1.03,"6,931 / sq ft",1500 ,Under Construction
3107,Forprops,3 ,2.45,"9,017 / sq ft",2717 ,Under Construction
3108,Forprops,3 ,1.24,"8,294 / sq ft",1495 ,Under Construction
3109,Forprops,2 ,62,"5,107 / sq ft",1214 ,Under Construction
3110,Forprops,2 ,67,"5,677 / sq ft",1180 ,Under Construction
3111,Forprops,3 ,1.62,"9,231 / sq ft",1761 ,Under Construction
3112,Forprops,3 ,83.69,"5,056 / sq ft",1655 ,Under Construction
3113,Forprops,2 ,78.27,"6,206 / sq ft",1261 ,Under Construction
3114,Forprops,3 ,2.17,"6,988 / sq ft",3105 ,Ready to move
3115,Forprops,3 ,1.14,"5,542 / sq ft",2060 ,Under Construction
3116,Forprops,3 ,89.35,"5,161 / sq ft",1731 ,Under Construction
3117,Forprops,3 ,1.25,"6,983 / sq ft",1790 ,Under Construction
3118,Forprops,3 ,1.27,"6,096 / sq ft",2083 ,Under Construction
3119,Forprops,2 ,80.83,"6,658 / sq ft",1214 ,Under Construction
3120,Forprops,3 ,98.85,"5,770 / sq ft",1713 ,Under Construction
3121,Forprops,2 ,74.81,"5,732 / sq ft",1305 ,Under Construction
3122,Forprops,3 ,1.37,"6,748 / sq ft",2030 ,Under Construction
3123,Forprops,3 ,81.65,"5,200 / sq ft",1570 ,Under Construction
3124,Forprops,3 ,1.18,"7,108 / sq ft",1660 ,Under Construction
3125,Forprops,3 ,1.82,"7,356 / sq ft",2474 ,Under Construction
3126,Forprops,3 ,1.23,"5,382 / sq ft",2285 ,Ready to move
3127,Forprops,4 ,2.19,"6,479 / sq ft",3380 ,Under Construction
3128,Forprops,2 ,1.04,"8,131 / sq ft",1279 ,Under Construction
3129,Forprops,3 ,97.28,"6,998 / sq ft",1390 ,Ready to move
3130,Forprops,3 ,67.57,"4,495 / sq ft",1503 ,Under Construction
3131,Forprops,3 ,1.38,"7,561 / sq ft",1825 ,Under Construction
3132,Forprops,3 ,1.46,"7,831 / sq ft",1865 ,Under Construction
3133,Forprops,2 ,61,"5,495 / sq ft",1110 ,Under Construction
3134,Forprops,2 ,65.65,"5,963 / sq ft",1101 ,Under Construction
3135,Forprops,2 ,61,"5,254 / sq ft",1161 ,Under Construction
3136,Forprops,3 ,1.5,"7,792 / sq ft",1925 ,Under Construction
3137,Forprops,2 ,40.48,"4,200 / sq ft",964 ,Under Construction
3138,Forprops,1 ,32.29,"4,200 / sq ft",769 ,Under Construction
3139,Forprops,3 ,50.23,"4,200 / sq ft",1196 ,Under Construction
3140,Forprops,2 ,73.76,"9,231 / sq ft",799 ,Under Construction
3141,Forprops,3 ,70.92,"4,650 / sq ft",1525 ,Under Construction
3142,Forprops,3 ,1.1,"7,279 / sq ft",1511 ,Under Construction
3143,Forprops,3 ,2.85,"10,477 / sq ft",2720 ,Under Construction
3144,Forprops,3 ,2.2,"10,679 / sq ft",2060 ,Under Construction
3145,Forprops,3 ,1.3,"6,417 / sq ft",2036 ,Under Construction
3146,Forprops,2 ,65.65,"5,957 / sq ft",1102 ,Under Construction
3147,Forprops,2 ,85.01,"6,626 / sq ft",1283 ,Under Construction
3148,Forprops,3 ,1.01,"6,528 / sq ft",1553 ,Under Construction
3149,Forprops,3 ,82.6,"5,195 / sq ft",1590 ,Under Construction
3150,Forprops,3 ,1.04,"5,573 / sq ft",1880 ,Under Construction
3151,Forprops,3 ,1.49,"5,741 / sq ft",2595 ,Under Construction
3152,Forprops,3 ,1.29,"8,159 / sq ft",1581 ,Under Construction
3153,Forprops,3 ,3.17,"12,808 / sq ft",2475 ,Under Construction
3154,Forprops,4 ,1.17,"4,767 / sq ft",2460 ,Under Construction
3155,Hrushi Properties,3 ,74,"4,111 / sq ft",1800 ,Under Construction
3156,Orange Property,2 ,88,"5,415 / sq ft",1625 ,Ready to move
3157,Venu Gopal,3 ,81,"5,785 / sq ft",1400 ,Ready to move
3158,Nityashree Real Estate,4 ,83,"5,187 / sq ft",1600 ,Ready to move
3159,Orange Property,2 ,73,"6,023 / sq ft",1212 ,Ready to move
3160,Omega Real Estate,1 ,60,"4,000 / sq ft",1500 ,Ready to move
3161,Kosher Proctor I Pvt Ltd,4 ,8.51,"14,302 / sq ft",5950 ,Under Construction
3162,Orange Property,3 ,1.05,"7,080 / sq ft",1483 ,Ready to move
3163,Nityashree Real Estate,2 ,55,"5,500 / sq ft",1000 ,Ready to move
3164,Omega Real Estate,2 ,30,"3,000 / sq ft",1000 ,Ready to move
3165,Orange Property,2 ,1.05,"5,611 / sq ft",1871 ,Ready to move
3166,Omega Real Estate,2 ,45,"3,333 / sq ft",1350 ,Ready to move
3167,Omega Real Estate,3 ,70,"4,375 / sq ft",1600 ,Ready to move
3168,Nityashree Real Estate,3 ,1.5,"6,818 / sq ft",2200 ,Ready to move
3169,Nityashree Real Estate,2 ,65,"5,416 / sq ft",1200 ,Ready to move
3170,Orange Property,2 ,95,"5,459 / sq ft",1740 ,Ready to move
3171,Nityashree Real Estate,4 ,83,"5,187 / sq ft",1600 ,Ready to move
3172,Orange Property,2 ,73,"6,023 / sq ft",1212 ,Ready to move
3173,Orange Property,2 ,90,"5,070 / sq ft",1775 ,Ready to move
3174,Omega Real Estate,2 ,80,"4,210 / sq ft",1900 ,Ready to move
3175,Omega Real Estate,2 ,55,"3,437 / sq ft",1600 ,Ready to move
3176,Omega Real Estate,3 ,65,"4,418 / sq ft",1471 ,Ready to move
3177,Mahesh Bairi,2 ,31.5,"3,267 / sq ft",964 ,Under Construction
3178,Mahesh Bairi,1 ,2.5,325 / sq ft,769 ,Under Construction
3179,Mahesh Bairi,3 ,60.66,"3,898 / sq ft",1556 ,Under Construction
3180,Mahesh Bairi,3 ,60.66,"3,898 / sq ft",1556 ,Under Construction
3181,Mahesh Bairi,3 ,45.1,"2,898 / sq ft",1556 ,Under Construction
