,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
9259,Royal Rajputana Co,3 ,66,"5,238 / sq ft",1260 ,Ready to move
9260,Moghal Constructions,3 ,65,"4,467 / sq ft",1455 ,Under Construction
9261,Moghal Constructions,2 ,49,"4,375 / sq ft",1120 ,Under Construction
9262,Moghal Constructions,3 ,65,"4,467 / sq ft",1455 ,Under Construction
9263,Moghal Constructions,3 ,65,"4,467 / sq ft",1455 ,Under Construction
9264,Venu Gopal,2 ,33,"2,869 / sq ft",1150 ,Ready to move
9265,Ayyappa Properties,2 ,70,"5,384 / sq ft",1300 ,Under Construction
9266,Shaikh Hameed,2 ,1,"7,142 / sq ft",1400 ,Ready to move
9267,Ayyappa Properties,2 ,70,"5,384 / sq ft",1300 ,Under Construction
9268,Venu Gopal,2 ,30,"2,727 / sq ft",1100 ,Ready to move
9269,3M ESTATE,3 ,69,"4,181 / sq ft",1650 ,Ready to move
9270,Bestpropin,2 ,46,"4,380 / sq ft",1050 ,Ready to move
9271,Moghal Constructions,3 ,1.28,"8,648 / sq ft",1480 ,Under Construction
9272,Moghal Constructions,3 ,1.28,"8,648 / sq ft",1480 ,Under Construction
9273,Moghal Constructions,3 ,1.28,"8,648 / sq ft",1480 ,Under Construction
9274,Kazim Co Real Estate,3 ,70,"4,946 / sq ft",1415 ,Ready to move
9275,Kazim Co Real Estate,3 ,70,"4,444 / sq ft",1575 ,Ready to move
9276,Kazim Co Real Estate,2 ,53,"4,628 / sq ft",1145 ,Ready to move
9277,3M Estate,2 ,73,"6,119 / sq ft",1193 ,Under Construction
9278,3M Estate,3 ,88,"6,068 / sq ft",1450 ,Under Construction
9279,Royal Rajputana Co,2 ,62,"4,769 / sq ft",1300 ,Ready to move
9280,S Murali Krishna,2 ,59,"5,086 / sq ft",1160 ,Under Construction
9281,Nityashree Real Estate,2 ,78,"6,516 / sq ft",1197 ,Ready to move
9282,Hyderabad properties,2 ,70,"5,833 / sq ft",1200 ,Ready to move
9283,Hyderabad properties,2 ,80,"5,797 / sq ft",1380 ,Ready to move
9284,Hyderabad properties,2 ,50,"5,000 / sq ft",1000 ,Ready to move
9285,Hyderabad properties,2 ,60,"6,000 / sq ft",1000 ,Ready to move
9286,Sri Sai Ram Hose Rentals,2 ,8.6,696 / sq ft,1235 ,Ready to move
9287,Omega Real Estate,2 ,30,"3,333 / sq ft",900 ,Ready to move
9288,Kazim Co Real Estate,3 ,2,"8,333 / sq ft",2400 ,Ready to move
9289,Som,3 ,1.63,"7,290 / sq ft",2245 ,Under Construction
9290,S Murali Krishna,2 ,82,"7,130 / sq ft",1150 ,Ready to move
9291,S Murali Krishna,2 ,78,"6,500 / sq ft",1200 ,Ready to move
9292,S Murali Krishna,2 ,78,"6,500 / sq ft",1200 ,Ready to move
9293,S Murali Krishna,2 ,82,"7,130 / sq ft",1150 ,Ready to move
9294,S Murali Krishna,2 ,82,"6,861 / sq ft",1195 ,Ready to move
9295,S Murali Krishna,2 ,78,"6,500 / sq ft",1200 ,Ready to move
9296,S Murali Krishna,3 ,1.05,"7,023 / sq ft",1495 ,Ready to move
9297,S Murali Krishna,3 ,1.2,"7,058 / sq ft",1700 ,Ready to move
9298,Sai Ram rentals,3 ,60,"4,615 / sq ft",1300 ,Ready to move
9299,Sai Ram rentals,2 ,60,"4,800 / sq ft",1250 ,Ready to move
9300,Royal Rajputana Co,2 ,32,"3,047 / sq ft",1050 ,Ready to move
9301,Royal Rajputana Co,2 ,38,"3,442 / sq ft",1104 ,Ready to move
9302,Royal Rajputana Co,4 ,98,"4,083 / sq ft",2400 ,Ready to move
9303,Royal Rajputana Co,4 ,1.5,"6,250 / sq ft",2400 ,Ready to move
9304,Royal Rajputana Co,2 ,78,"7,800 / sq ft",1000 ,Ready to move
9305,Royal Rajputana Co,2 ,75,"6,355 / sq ft",1180 ,Ready to move
9306,Royal Rajputana Co,2 ,32,"2,976 / sq ft",1075 ,Ready to move
9307,Royal Rajputana Co,3 ,66,"5,238 / sq ft",1260 ,Ready to move
9308,Royal Rajputana Co,2 ,70,"7,000 / sq ft",1000 ,Ready to move
9309,Royal Rajputana Co,3 ,1,"6,410 / sq ft",1560 ,Ready to move
9310,Royal Rajputana Co,4 ,1.2,"4,800 / sq ft",2500 ,Ready to move
9311,Royal Rajputana Co,4 ,1.2,"5,000 / sq ft",2400 ,Ready to move
9312,Royal Rajputana Co,4 ,1.5,"5,000 / sq ft",3000 ,Ready to move
9313,Royal Rajputana Co,2 ,63,"3,500 / sq ft",1800 ,Ready to move
9314,Royal Rajputana Co,4 ,98,"4,083 / sq ft",2400 ,Ready to move
9315,Royal Rajputana Co,4 ,70,"4,117 / sq ft",1700 ,Ready to move
9316,Royal Rajputana Co,2 ,1,"7,462 / sq ft",1340 ,Ready to move
9317,Royal Rajputana Co,3 ,85,"4,250 / sq ft",2000 ,Ready to move
